Hasil Pilkada,Jumlah Paslon,Nama Daerah,Jalur Pencalonan,Nama Kandidat (1),Nama Kandidat (2),Gender (1),Gender (2),Usia (1),Usia (2),Latar Belakang Profesi (1),Latar Belakang Profesi (2),Petahana? (1),Petahana? (2),Jumlah PARPOL Pendukung,Persentase PARPOL Pendukung,Jumlah Kursi Pendukung (DPR),Jumlah Kursi Pendukung (DPRD)
Kalah,3,Provinsi Bengkulu,PARPOL,Helmi Hasan,Muslihan DS,L,L,41,74,SIPIL,SIPIL,0,0,3,0.250,0.179,0.222
Menang,3,Provinsi Bengkulu,PARPOL,Rohidin Mersyah,Rosjonsyah Syahili,L,L,50,56,SIPIL,SIPIL,1,0,6,0.500,0.584,0.511
Kalah,3,Provinsi Bengkulu,PARPOL,Agusrin Maryono Najamuddin,Imron Rosyadi,L,L,51,59,SIPIL,SIPIL,0,0,2,0.167,0.237,0.222
Kalah,3,Provinsi Jambi,PARPOL,Cek Endra,Ratu Munawaroh,L,P,62,43,SIPIL,SIPIL,0,0,4,0.333,0.473,0.327
Kalah,3,Provinsi Jambi,PARPOL,Fachrori Umar,Syafril Nursal,L,L,68,58,SIPIL,TNI/POLRI,1,0,4,0.333,0.263,0.345
Menang,3,Provinsi Jambi,PARPOL,Al Haris,Abdullah Sani,L,L,47,64,SIPIL,SIPIL,0,0,4,0.333,0.264,0.309
Kalah,3,Provinsi Kepulauan Riau,PARPOL,Soerya Respationo,Iman Sutiawan,L,L,61,45,SIPIL,SIPIL,0,0,3,0.250,0.459,0.333
Kalah,3,Provinsi Kepulauan Riau,PARPOL,Isdianto,Suryani,L,P,59,47,SIPIL,SIPIL,2,0,3,0.250,0.181,0.289
Menang,3,Provinsi Kepulauan Riau,PARPOL,Ansar Ahmad,Marlin Agustina Rudi,L,P,56,49,SIPIL,SIPIL,0,0,4,0.333,0.360,0.378
Menang,2,Provinsi Kalimantan Selatan,PARPOL,Sahbirin Noor,Muhidin,L,L,53,62,SIPIL,SIPIL,1,0,8,0.667,0.737,0.727
Kalah,2,Provinsi Kalimantan Selatan,PARPOL,Denny Indrayana,Difriadi Darjat,L,L,48,59,SIPIL,SIPIL,0,0,4,0.333,0.263,0.273
Kalah,2,Provinsi Kalimantan Tengah,PARPOL,Ben Brahim S. Bahat,Ujang Iskandar,L,L,62,59,SIPIL,SIPIL,0,0,3,0.250,0.230,0.267
Menang,2,Provinsi Kalimantan Tengah,PARPOL,Sugianto Sabran,Edy Pratowo,L,L,47,51,SIPIL,SIPIL,1,0,7,0.583,0.770,0.711
